IssuerDesc,SecurityCode,SecurityDesc,HoldingDirection,CustodianCode,CurrencyCode,Quantity,PriceLocal,PriceBook,UnderlierPriceBook,MktValLocal,MktValBook,AvgCostLocal,AvgCostBook,CostLocal,CostBook,DtdPnlTotal,MtdPnlTotal,YtdPnlTotal,NetExposure,BbergCode,BloombergMarketSectorCode,Cusip,Sedol,Isin,AccrualStartDate,FrequencyCode,Coupon,IssuedDate,Maturity,Strike,ContractSize,ExcerciseType,PutCall,Expiration,ExchangeCode,SecurityTypeCode,SectorDesc,GeographyRegionDesc,GicsSectorDesc
CLGX,CLGX,CORELOGIC INC,L,LEH-SP1,USD,38043,27.28,27.28,0,1037813.04,1037813.04,15.7418,0,598868,598868,2663.01,54021.06,13695.48,1037813.04,EQ0010375000001000 ,Equity,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Stock,Information Technology,North America,
Captec Franchise Trust,140725AD4,CFT 2000-1 B,L,BONY,USD,1590800,97,97,0,1543076,1543076,93.1483,0,1481805,1481805,48084,58524,107461.77,1543076,140725AD4,Mtge,140725AD4,B3SGVV8,US140725AD45,7/1/2013,Monthly,8.155,2/1/2000,12/15/2021,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
Comtech Telecommunications Corp,CMTL,COMTECH TELECOMMUNICATIONS,L,GSCO-US,USD,856,24.61,24.61,0,21066.16,21066.16,24.25,0,20758,20758,505.04,539.74,539.74,21066.16,EQ0010299600001000 US,Equity,205826209,2215341,US2058262096,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNGS,Stock,Information Technology,North America,Information Technology
CNL Funding,12613QAB2,CNLF 1999-1 A2,L,BONY,USD,106000,101,101,0,24149.31008,24149.31008,101,0,24149,24149,244.10208,389.10208,922.09208,24149.31008,12613QAB2,Corp,12613QAB2,,US12613QAB23,7/1/2013,Monthly,7.645,11/1/1999,6/18/2014,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
CNL Funding,12613QAF3,CNLF 1999-1 E,L,BONY,USD,1055000,86,86,0,907300,907300,70.25,0,741138,741138,26624,33845,61530,907300,12613QAF3,Corp,12613QAF3,,US12613QAF37,7/1/2013,Monthly,8.5,11/1/1999,8/18/2016,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
CNL Funding,12613QAJ5,CNLF 1999-1 H,L,BONY,USD,4077000,37,37,0,523916.6789,523916.6789,37.45,0,530289,530289,42813.73072,58175.21072,115052.8207,523916.6789,12613QAJ5,Mtge,12613QAJ5,,US12613QAJ58,7/1/2013,Monthly,8.5,11/1/1999,8/18/2016,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
CNL Funding,12613QAK2,CNLF 1999-1 IO,L,BONY,USD,34911000,1.25,1.25,0,81099.12578,81099.12578,2.2656,0,146991,146991,111,2045.519025,18208.99861,81099.12578,12613QAK2,Corp,12613QAK2,,US12613QAK22,7/1/2013,Monthly,0.602716,11/1/1999,8/18/2016,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
CNL Funding,12613QAH9,CNLF 1999-1 G,L,BONY,USD,1853100,72,72,0,1334232,1334232,65.7,0,1217487,1217487,56031,68733,117417.5,1334232,12613QAH9,Mtge,12613QAH9,,US12613QAH92,7/1/2013,Monthly,8.5,11/1/1999,8/18/2016,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
CoSine Communications Inc,COSN,COSINE COMMUNICATIONS INC COM,L,BONY,USD,227240,1.9,1.9,0,431756,431756,2.4733,0,562048,562048,-11362,-22724,-22724,431756,EQ0097340100001000 US,Equity,221222706,2984889,US2212227068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OOTC,Stock,Telecommunication Services,North America,
Crest Ltd,BCC03YVE8,CREST 2000-1X D,L,BONY,USD,1321000,70,70,0,647409.2863,647409.2863,80.625,0,745677,745677,-18240.40818,-10787.40818,-4005.494785,647409.2863,BCC03YVE8,Corp,BCC03YVE8,,USG2549CAE06,5/31/2013,Quarterly,10,11/3/2000,8/31/2036,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
Crest Ltd,226082AE5,CREST 2000-1A D,L,BONY,USD,2907000,70,70,0,1424692.502,1424692.502,84,0,1709631,1709631,-40140.50006,-23755.50006,-8778.874595,1424692.502,226082AE5,Corp,226082AE5,,US226082AE55,5/31/2013,Quarterly,10,11/3/2000,8/31/2036,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
Discovery Communications Inc,DISAD,Discovery Communications-A,L,GSCO-US,USD,3154.166782,78.82,78.82,0,248611.4258,248611.4258,38.5685,0,-3654676,-3654676,-31.54166782,253.9248916,44170.5023,248611.4258,EQ0000000001662944 US,Equity,25470F104,B3D7K31,US25470F1049,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNGS,Stock,Consumer Discretionary,North America,Consumer Discretionary
Discovery Communications Inc,DISAD,Discovery Communications-A,S,GSCO-US,USD,-97912.16678,78.82,78.82,0,-7717436.986,-7717436.986,38.5685,0,-3654676,-3654676,979.1216678,-7876.064892,-1371141.722,-7717436.986,EQ0000000001662944 US,Equity,25470F104,B3D7K31,US25470F1049,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNGS,Stock,Consumer Discretionary,North America,Consumer Discretionary
DISCK,DISCK,DISCOVERY COMMUNICATIONS-C,L,GSCO-US,USD,105800,70.89,70.89,0,7500162,7500162,57.8876,0,6124509,6124509,2116,142783,1207039,7500162,EQ0000000006963103 ,Equity,25470F302,,US25470F3029,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Stock,Consumer Discretionary,North America,
EAGL,ENT US,GLOBAL EAGLE ENTERTAINMENT I,L,JPM,USD,112849,9.7,9.7,0,1094635.3,1094635.3,9.9527,0,1123152,1123152,13541.88,-9764.6822,-13746.5507,1094635.3,ENT US,Equity,37951D102,B43P7M0,US37951D1028,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNCM,Stock,Information Technology,North America,
EAGL,ENTWW,GLOBAL EAGLE ENTERTAINMENT I,L,JPM,USD,194816,1.3,1.3,0,253260.8,253260.8,0,0,0,0,-9740.8,-9740.8,150220.26,253260.8,ENTWW US,Equity,37951D110,B3TR2J5,US37951D1101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Stock,Information Technology,North America,
ECP_BEL_AIR_LLC,BELAIRLLC,BEL AIR LLC,L,GS-SP1,USD,5500,0,0,0,0,0,1000,0,5500000,5500000,0,0,0,0,NULL,NULL,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Stock,Financials,North America,
Emerson Electric Co,EMR,EMERSON ELECTRIC CO,S,GSCO-US,USD,-13.056645,55.51,55.51,0,-724.774364,-724.774364,53.3451,0,-1672317,-1672317,-2.611329,4.7003922,-35.72036295,-724.774364,EQ0010051500001000 UN,Equity,291011104,2313405,US2910111044,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Industrials,North America,Industrials
Enterprise Mortgage Acceptance Co LLC,268617AP2,EMAC 1999-1 IO,L,BONY,USD,34884000,0.375,0.375,0,4851.274275,4851.274275,1.4843,0,19203,19203,-42.683657,212.220255,2274.416435,4851.274275,EMAC 1999-1 IO,Mtge,268617AP2,,US268617AP25,7/1/2013,Monthly,0.625,3/1/1999,10/15/2025,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
Emerson Electric Co,EMR,EMERSON ELECTRIC CO,S,GSCO-US,USD,-31335.94336,55.51,55.51,0,-1739458.216,-1739458.216,53.3451,0,-1672317,-1672317,-6267.188671,11280.93961,-51369.48014,-1739458.216,EQ0010051500001000 UN,Equity,291011104,2313405,US2910111044,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Industrials,North America,Industrials
EP0404814,UAM 8.5 PFD,UAM 8.5% PREFERRED,L,BONY,USD,112629,25,25,0,2815725,2815725,25,0,2815725,2815725,0,0,59834,2815725,UAM 8.5 12/31/49,Pfd,9.13E+204,,US91338E2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Stock,Financials,North America,
FFCA,301965CH0,FFCA 2000-1 B,L,BONY,USD,636849,100,100,0,636849,636849,97.6,0,621565,621565,145,4350,17399,636849,301965CH0,Corp,301965CH0,,US301965CH04,1753-01-01,NOT SPECIFIED,8.18,1753-01-01,9/18/2027,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
Eaton Corp,ETN,EATON CORP PLC,S,JPM,USD,-26184,61.41,61.41,0,-1607959.44,-1607959.44,46.797,0,-1225335,-1225335,-29587.92,-4970.298897,-175910.9023,-1607959.44,EQ0010049600001000 UN,Equity,278058102,2300883,US2780581029,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Industrials,Developed Europe,Industrials
FFCA 2000-1,301965CJ6,FFCA 2000-1 C,L,BONY,USD,1963800,99.5,99.5,0,1953981,1953981,90.2077,0,1771500,1771500,463,13890,55559,1953981,301965CJ6,Corp,301965CJ6,,US301965CJ69,1753-01-01,NOT SPECIFIED,8.48,1753-01-01,9/18/2027,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
FFCA,301965CM9,FFCA 2000-1 IO,L,BONY,USD,1351000,2.25,2.25,0,4071.775523,4071.775523,3.529,0,6386,6386,5,131.8526925,458.3866325,4071.775523,301965CM9,Corp,301965CM9,,US301965CM98,7/1/2013,Monthly,1.054721,11/1/2000,9/18/2027,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
FLT 1998-I,35180RAE8,FLT 1998-I B,L,BONY,USD,3370100,92,92,0,3100492,3100492,85.22,0,2871999,2871999,34357,53381,137697.75,3100492,35180RAE8,Corp,35180RAE8,,US35180RAE80,1753-01-01,NOT SPECIFIED,7.01,1753-01-01,7/15/2020,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
FLT,35180RAD0,FLT 1998-I AX,L,BONY,USD,14138000,2.75,2.75,0,31288.27763,31288.27763,4.0938,0,46578,46578,45,708.63271,1457.127443,31288.27763,35180RAD0,Corp,35180RAD0,,US35180RAD08,7/11/2013,Monthly,1.39642,8/11/1998,7/15/2020,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
FMACT,302471CM7,FMACT 1998-CA AX,L,BONY,USD,89654686,1.63,1.63,0,68077.98582,68077.98582,3.7187,0,155317,155317,136,2232.442062,6487.399979,68077.98582,302471CM7,Corp,302471CM7,,US302471CM77,7/1/2013,Monthly,0.532718,9/1/1998,9/15/2020,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
Market Vectors Gold Miners ETF,GDX,MARKET VECTORS GOLD MINERS,L,CSFB,USD,136790,30.36,30.36,0,4152944.4,4152944.4,45.33,0,6200693,6200693,61555.5,-1024557.1,-2192743.7,4152944.4,EQ0000000002537458 US,Equity,57060U100,B15F7W7,US57060U1007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Materials,North America,
Market Vectors Gold Miners ETF,GDX,MARKET VECTORS GOLD MINERS,L,GSCO-US,USD,468,30.36,30.36,0,14208.48,14208.48,42.6678,0,19969,19969,210.6,-3505.32,-805491.3434,14208.48,EQ0000000002537458 US,Equity,57060U100,B15F7W7,US57060U1007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Materials,North America,
FMACT,302471BH9,FMACT 1997-C AX,L,BONY,USD,40276000,2.25,2.25,0,22832.86716,22832.86716,3.4125,0,34631,34631,59,373.85402,6123.79382,22832.86716,302471BH9,Corp,302471BH9,,US302471BH91,7/1/2013,Monthly,24.271078,12/1/1997,12/15/2019,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
General Motors Co,GM,GENERAL MOTORS CO,S,GSCO-US,USD,-1280.336996,30.84,30.84,0,-39485.59296,-39485.59296,27.3027,0,-2043013,-2043013,-64.0168498,-3398.099349,13462.38369,-39485.59296,GM US,Equity,37045V100,B665KZ5,US37045V1008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Consumer Discretionary,North America,Consumer Discretionary
General Motors Co,GM,GENERAL MOTORS CO,S,MSCO,USD,-13299.47918,30.84,30.84,0,-410155.9379,-410155.9379,27.8885,0,-377360,-377360,-664.973959,-40249.14838,-39427.27231,-410155.9379,GM US,Equity,37045V100,B665KZ5,US37045V1008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Consumer Discretionary,North America,Consumer Discretionary
General Motors Co,GM,GENERAL MOTORS CO,S,MSCO,USD,-231.52082,30.84,30.84,0,-7140.102089,-7140.102089,27.8885,0,-377360,-377360,-11.576041,-614.4716194,-923.186085,-7140.102089,GM US,Equity,37045V100,B665KZ5,US37045V1008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Consumer Discretionary,North America,Consumer Discretionary
General Motors Co,GM,GENERAL MOTORS CO,S,CSFB,USD,-5474.951507,30.84,30.84,0,-168847.5045,-168847.5045,28.2624,0,-9043363,-9043363,-273.7475754,-11802.81204,13748.01447,-168847.5045,GM US,Equity,37045V100,B665KZ5,US37045V1008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Consumer Discretionary,North America,Consumer Discretionary
General Motors Co,GM,GENERAL MOTORS CO,S,JPM,USD,-10126.90989,30.84,30.84,0,-312313.9011,-312313.9011,27.9987,0,-16571261,-16571261,-506.3454947,-34444.56763,29717.03983,-312313.9011,GM US,Equity,37045V100,B665KZ5,US37045V1008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Consumer Discretionary,North America,Consumer Discretionary
General Motors Co,GM,GENERAL MOTORS CO,S,JPM,USD,-581730.0901,30.84,30.84,0,-17940555.98,-17940555.98,27.9987,0,-16571261,-16571261,-29086.50451,-2287623.888,-2052813.599,-17940555.98,GM US,Equity,37045V100,B665KZ5,US37045V1008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Consumer Discretionary,North America,Consumer Discretionary
General Motors Co,GM,GENERAL MOTORS CO,S,GSCO-US,USD,-73547.663,30.84,30.84,0,-2268209.927,-2268209.927,27.3027,0,-2043013,-2043013,-3677.38315,-222582.4607,-195516.5003,-2268209.927,GM US,Equity,37045V100,B665KZ5,US37045V1008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Consumer Discretionary,North America,Consumer Discretionary
General Motors Co,GM/WS/B US,GENERAL MOTORS-CW19,L,GSCO-US,USD,14828,14.07,14.07,30.84,208629.96,208629.96,9.5641,0,141817,141817,-4127.96692,32382.266,-54124.256,421982.7027,GM/WS/B US,Equity,37045V126,B5BV6W0,US37045V1263,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,C,7/10/2019,XNYS,Stock,Consumer Discretionary,North America,Consumer Discretionary
General Motors Co,GM,GENERAL MOTORS CO,S,CSFB,USD,-314503.0485,30.84,30.84,0,-9699274.016,-9699274.016,28.2624,0,-9043363,-9043363,-15725.15242,-807947.1792,-702850.5376,-9699274.016,GM US,Equity,37045V100,B665KZ5,US37045V1008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Consumer Discretionary,North America,Consumer Discretionary
GSMPS Mortgage Loan Trust,36228FCG9,GSMPS 1999-2 A,L,BONY,USD,1039000,104.13,104.13,0,58524.87741,58524.87741,100,0,56204,56204,85.0647658,415.7342458,1549.463286,58524.87741,36228FCG9,Mtge,36228FCG9,,US36228FCG90,7/1/2013,Monthly,8,6/1/1999,9/19/2027,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
Honeywell International Inc,HON,HONEYWELL INTERNATIONAL INC,S,GSCO-US,USD,-22350,73.54,73.54,0,-1643619,-1643619,64.8471,0,-1449334,-1449334,5811,33831.3866,-138903.0419,-1643619,EQ0010004300001000 UN,Equity,438516106,2020459,US4385161066,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Industrials,North America,Industrials
Ingersoll-Rand PLC,IR,INGERSOLL-RAND PLC,S,GSCO-US,USD,-23093.17666,53.8,53.8,0,-1242412.905,-1242412.905,35.0232,0,-784696,-784696,10160.99773,27942.74376,-139713.6673,-1242412.905,EQ0010078700001000 UN,Equity,,B633030,IE00B6330302,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Industrials,Developed Europe,Industrials
Ingersoll-Rand PLC,IR,INGERSOLL-RAND PLC,L,GSCO-US,USD,688.176664,53.8,53.8,0,37023.90452,37023.90452,35.0232,0,-784696,-784696,-302.7977322,-832.6937634,4163.467282,37023.90452,EQ0010078700001000 UN,Equity,,B633030,IE00B6330302,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Industrials,Developed Europe,Industrials
SPDR S&P Regional Banking ETF,KRE,SPDR S&P REGIONAL BANKING,S,JPM,USD,-60887.06629,31.05,31.05,0,-1890543.408,-1890543.408,28.7561,0,-1652617,-1652617,-2421.61406,-137844.0779,-580811.7402,-1890543.408,EQ0000000002554583 US,Equity,78464A698,B17N7T6,US78464A6982,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Financials,North America,
SPDR S&P Regional Banking ETF,KRE,SPDR S&P REGIONAL BANKING,L,JPM,USD,3417.066291,31.05,31.05,0,106099.9083,106099.9083,28.7561,0,-1652617,-1652617,122.8140596,4895.629973,-3649.298728,106099.9083,EQ0000000002554583 US,Equity,78464A698,B17N7T6,US78464A6982,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Financials,North America,
SPDR S&P Regional Banking ETF,KRE,SPDR S&P REGIONAL BANKING,S,PERS,USD,-23987.19352,31.05,31.05,0,-744802.3588,-744802.3588,28.0709,0,-635554,-635554,-954.0240808,15818.66745,-284211.1776,-744802.3588,EQ0000000002554583 US,Equity,78464A698,B17N7T6,US78464A6982,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Financials,North America,
SPDR S&P Regional Banking ETF,KRE,SPDR S&P REGIONAL BANKING,S,GSCO-US,USD,-56529.51367,31.05,31.05,0,-1755241.399,-1755241.399,28.4768,0,-1519437,-1519437,-2248.304531,37279.12367,-408739.5523,-1755241.399,EQ0000000002554583 US,Equity,78464A698,B17N7T6,US78464A6982,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Financials,North America,
SPDR S&P Regional Banking ETF,KRE,SPDR S&P REGIONAL BANKING,L,GSCO-US,USD,3172.513668,31.05,31.05,0,98506.54939,98506.54939,28.4768,0,-1519437,-1519437,114.0245307,2149.313455,24414.69545,98506.54939,EQ0000000002554583 US,Equity,78464A698,B17N7T6,US78464A6982,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Financials,North America,
SPDR S&P Regional Banking ETF,KRE,SPDR S&P REGIONAL BANKING,L,PERS,USD,1346.19352,31.05,31.05,0,41799.3088,41799.3088,28.0709,0,-635554,-635554,48.3840808,912.0191531,-4887.047681,41799.3088,EQ0000000002554583 US,Equity,78464A698,B17N7T6,US78464A6982,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Financials,North America,
SPDR S&P MidCap 400 ETF Trust,MDY,SPDR S&P MIDCAP 400 ETF TRST,L,JPM,USD,-15.42838,210.97,210.97,0,-3254.925329,-3254.925329,204.4977,0,-8924075,-8924075,865.0337556,3813.366715,211.6953702,-3254.925329,EQ0114416800060000 US,Equity,78467Y107,2550688,US78467Y1073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P MidCap 400 ETF Trust,MDY,SPDR S&P MIDCAP 400 ETF TRST,L,CSFB,USD,-9.421276,210.97,210.97,0,-1987.606598,-1987.606598,204.792,0,-5456273,-5456273,528.1306707,-22359.62477,-7929.378957,-1987.606598,EQ0114416800060000 US,Equity,78467Y107,2550688,US78467Y1073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P MidCap 400 ETF Trust,MDY,SPDR S&P MIDCAP 400 ETF TRST,L,GSCO-US,USD,-9.713131,210.97,210.97,0,-2049.179247,-2049.179247,200.7842,0,-5516546,-5516546,544.6229848,-25104.20999,-23288.36043,-2049.179247,EQ0114416800060000 US,Equity,78467Y107,2550688,US78467Y1073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P MidCap 400 ETF Trust,MDY,SPDR S&P MIDCAP 400 ETF TRST,S,CSFB,USD,-13150.67642,210.97,210.97,0,-2774398.204,-2774398.204,204.792,0,-5456273,-5456273,-24239.85082,37919.94668,-754551.4075,-2774398.204,EQ0114416800060000 US,Equity,78467Y107,2550688,US78467Y1073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P MidCap 400 ETF Trust,MDY,SPDR S&P MIDCAP 400 ETF TRST,S,GSCO-US,USD,-13561.34552,210.97,210.97,0,-2861037.064,-2861037.064,200.7842,0,-5516546,-5516546,-24996.80596,29264.60008,-277440.9654,-2861037.064,EQ0114416800060000 US,Equity,78467Y107,2550688,US78467Y1073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
